topic;content
Posso tomar banho com meu relógio?;Não é recomendado que se tome banho com sua Mormaii fitGPS, uma vez que as partículas de vapor podem atravessar as vedações do relógio e a coluna d’água (distância entre o chuveiro e a caixa d’água) pode exercer uma pressão maior do que o limite de resistência do relógio 
Posso tomar banho com meu relógio?;Não é recomendado que se tome banho com sua Mormaii fitSport, uma vez que as partículas de vapor podem atravessar as vedações do relógio e a coluna d’água (distância entre o chuveiro e a caixa d’água) pode exercer uma pressão maior do que o limite de resistência do relógio 
Posso tomar banho com meu relógio?;Você pode tomar banho com o seu Mormaii Life em água fria. Não recomendamos o uso em banho quente com vapor.
Posso lavar as mãos com meu relógio?;Você pode lavar as mãos enquanto usa sua Mormaii fitGPS, desde que tome cuidado para não submeter o relógio à pressão direta da torneia, uma vez que a coluna d’água (distância entre a torneira e a caixa d’água) pode exercer uma pressão maior do que o limite de resistência do relógio
Posso lavar as mãos com meu relógio?;Você pode lavar as mãos enquanto usa sua Mormaii fitsport, desde que tome cuidado para não submeter o relógio à pressão direta da torneia, uma vez que a coluna d’água (distância entre a torneira e a caixa d’água) pode exercer uma pressão maior do que o limite de resistência do relógio 
Posso lavar as mãos com meu relógio?;Você pode lavar as mãos enquanto usa sua Mormaii Life.
Como ajusto a data e hora de meu relógio?;Ao realizar a conexão entre relógio e aplicativo, data e hora serão ajustadas automaticamente.
Como altero o formato de hora de meu relógio?;O formato da hora será ajustado para o mesmo formato adotado em seu celular, contudo, é possível forçar um formato específico (12h ou 24h) na tela Dispositivos > Mudar formato de hora.
Quais modalidades o meu relógio consegue monitorar?;"1.	Bike
2.	Corrida"
Quais modalidades o meu relógio consegue monitorar?;"1.	Basquete
2.	Bike
3.	Caminhada
4.	Corrida
5.	Dança
6.	Escalada
7.	Esteira
8.	Futebol
9.	Spinning
10.	Tênis
11.	Treino
12.	Trilha
13.	Yoga"
Quais modalidades o meu relógio consegue monitorar?;"Você pode monitorar diretamente pelo seu relógio 9 atividades (descritas abaixo). Mas se você iniciar a atividade pelo app, pode monitorar até 13 atividades.
1.	Bike
2.	Caminhada
3.	Corrida
4.	Escalada
5.	Esteira
6.	Spinning
7.	Treino
8.	Trilha
9.	Yoga"
Como realizo o monitoramento de um exercício?;"Para realizar o monitoramento de um exercício, com seu relógio pareado corretamente ao aplicativo, acesse a aba ‘Exercícios’ do aplicativo e selecione a modalidade desejada. Em seguida clique em “Iniciar Atividade”.
Na tela seguinte você poderá definir um objetivo para seu exercício ou clicar em “Iniciar sem definir objetivo”. Em seguida, inicie o monitoramento através de seu relógio.
Ao final do exercício, encerre o monitoramento pelo relógio. O exercício ficará registrado em sua conta no aplicativo."
Como realizo o monitoramento de um exercício?;"Para realizar o monitoramento de um exercício, com seu relógio pareado corretamente ao aplicativo, acesse a aba ‘Exercícios’ do aplicativo e selecione a modalidade desejada. Em seguida clique em “Iniciar Atividade”.
Na tela seguinte você poderá definir um objetivo para seu exercício ou clicar em “Iniciar sem definir objetivo”. Ao encerrar o exercício, você deve sincronizar os dados do relógio com o aplicativo. Você pode iniciar a atividade diretamente pelo seu relógio e fazer o exercício sem estar pareado ou com o celular durante a atividade. Depois, ao finalizar a atividade pelo relógio, faça o pareamento e a sincronização para ver o histórico do exercício no App.
"
Como realizo o monitoramento de um exercício?;"Para realizar o monitoramento de um exercício, com seu relógio pareado corretamente ao aplicativo, acesse a aba ‘Exercícios’ do aplicativo e selecione a modalidade desejada. Em seguida toque em “Iniciar Atividade”.
Na tela seguinte você poderá definir um objetivo para seu exercício ou clicar em “Iniciar sem definir objetivo”. Ao encerrar o exercício, você deve sincronizar os dados do relógio com o aplicativo. Você pode iniciar a atividade diretamente pelo seu relógio e fazer o exercício sem estar pareado ou com o celular durante a atividade. Depois, ao finalizar a atividade pelo relógio, faça o pareamento e a sincronização para ver o histórico do exercício no App.
ATENÇÃO: Para o funcionamento correto do monitoramento, é necessário que o aplicativo permaneça aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante toda a atividade. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Como defino objetivos para meus exercícios?;"Ao iniciar um monitoramento de exercício pelo aplicativo, é possível definir um objetivo.
Os objetivos podem ser de distância (ex: correr 5km), de tempo (ex: correr por 30min) ou de caloria (ex: correr até queimar 500kcal). Só é possível escolher um objetivo por exercício. Para atividades que não possuem distância, você só poderá escolher entre objetivo de caloria e de tempo.
Você pode selecionar um dos objetivos pré-definidos ou clicar em “Personalizar” e definir um objetivo personalizado.
Quando o objetivo for alcançado, você receberá uma notificação em seu celular lhe avisando. Não há nenhuma notificação no seu smartwatch e a atividade não será encerrada quando você atingir seu objetivo.
ATENÇÃO: Para o funcionamento correto do monitoramento, é necessário que o aplicativo permaneça aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante toda a atividade. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
O que fazer para que o mapa seja registrado durante a realização de uma atividade?;"Para que o mapa possa ser registrado é preciso iniciar o monitoramento do exercício pelo aplicativo. Certifique-se também de que seu relógio está conectado corretamente ao aplicativo e de que a Localização (GPS) de seu celular está ativada.
O GPS do celular é usado para o desenho do mapa e não é usado para medir a distância do seu exercício.
Se você utilizar outro aplicativo que também possui desenho do mapa durante a atividade junto com o app Mormaii Smartwatches, o mapa não irá marcar o percurso corretamente.
ATENÇÃO: Para o funcionamento correto do monitoramento, é necessário que o aplicativo permaneça aberto, mesmo que em segundo plano, e seu relógio deve permanecer conectado durante toda a atividade. Caso a conexão seja perdida ou o aplicativo fechado, alguns dados podem não ser registrados ou podem apresentar menor precisão."
Posso fazer a atividade sem levar o celular comigo durante o exercício?;"Sim, você pode iniciar as atividades diretamente pelo seu relógio sem a necessidade de estar pareado ou levar o celular com você durante o exercício. Quando finalizar a atividade, faça o pareamento, depois a sincronização para conseguir ver seu histórico.
Para ver seu mapa durante o percurso, você deve iniciar o exercício pelo aplicativo e levar seu celular com você durante o percurso."
Meu relógio tem GPS integrado?;Não, nosso modelo Mormaii fitGPS não possue GPS integrado. O aplicativo acessa seus dados de geolocalização para traçar o mapa das suas atividades.
Meu relógio tem GPS integrado?;Não, nosso modelo Mormaii fitSport não possue GPS integrado. O aplicativo acessa seus dados de geolocalização para traçar o mapa das suas atividades.
Meu relógio tem GPS integrado?;Não, nosso modelo Mormaii Life não possue GPS integrado. O aplicativo acessa seus dados de geolocalização para traçar o mapa das suas atividades.
Fiz uma caminhada mas os dados de calorias, distância e duração estão zerados na tela inicial. O que devo fazer?;Os dados de calorias, distância e duração na tela inicial são os dados somados das atividades que você fez nas últimas 24h. Você deve iniciar uma atividade (pelo relógio ou pelo app), depois de finalizada a atividade, você deve sincronizar os dados (botão fica ao lado do símbolo de bluetooth).
Meu Mormaii FitGPS possui monitoramento de sono?;Não, essa smartband não possui a função de monitoramento de sono.
Meu Mormaii FitSport possui monitoramento de sono?;Sim, o Mormaii FitSport possui a função de monitoramento de sono.
O Mormaii Life possui monitoramento de sono?;Sim, o Mormaii Life possui a função de monitoramento de sono.
Como faço para monitorar meu sono?;Para monitorar seu sono basta dormir com sua Mormaii fitSport no pulso. O relógio irá detectar automaticamente seu ciclo de sono e classificar em sono leve ou profundo. O relógio também registrará os momentos em que você acordou durante a noite. Para enviar as informações para o aplicativo basta realizar a sincronização apertando o botão de sincronizar localizado no canto superior direito da home ao lado do ícone de bluetooth. O relógio precisa estar bem ajustado ao pulso para fazer a marcação corretamente.
Como faço para monitorar meu sono?;Para monitorar seu sono basta dormir com seu Mormaii Life no pulso. O relógio irá detectar automaticamente seu ciclo de sono e classificar em sono leve ou profundo. O relógio também registrará os momentos em que você acordou durante a noite. Para enviar as informações para o aplicativo basta realizar a sincronização apertando o botão Sync localizado no canto superior direito da home ao lado do ícone de bluetooth. O relógio precisa estar bem ajustado ao pulso para fazer a marcação corretamente.
Dormi com o relógio mas os dados de sono não foram registrados. O que devo fazer?;Você deve clicar no botão de sincronizar (na tela inicial clique no ícone que fica ao lado do ícone de bluetooth) e aguardar a sincronização. Depois você pode consultar na aba de ‘Sono’ da Tela Inicial ou visualizar seu histórico de sono no menu ‘Dispositivos’>’Sono’.
[Android] Como ativar as notificações?;"Ao conectar o relógio ao aplicativo, irá aparecer um pop-up solicitando as permissões para que o aplicativo consiga ter acesso as suas notificações, nesse pop-up você precisa tocar em “sim” e seguir o passo-a-passo:

1- Após tocar em sim você precisará procurar o “Mormaii Smartwatches” na lista de aplicativos para permitir o acesso as notificações.

2- Após esse processo toque em “Permitir” pode voltar para o aplicativo.

Pode ser que você não consiga permitir essas notificações por alguma medida de segurança do android, então, você precisa seguir esse passo a passo:

1. No dispositivo Android, abra o app Configurações.
2. Toque em Apps ou Aplicativos.
3. Procure por Mormaii smartwatches para ativar uma configuração restrita.
    - Dica: se o aplicativo não estiver disponível, toque em Ver todos os aplicativos ou Informações do aplicativo.
4. Toque nos 3 pontinhos no canto superior direito e toque em ”Permitir configurações restritas”
5. Siga as instruções na tela."
[IOS] Como ativar as notificações?;"Inicie a conexão do seu relógio com o Mormaii Smartwatches. Após finalizar, vão aparecer dois ‘pop-ups’ do sistema operacional, o primeiro é solicitando o emparelhamento com o celular e o segundo é solicitando a permissão de notificações. 

Após esse processo o seu app já pode acessar suas notificações, agora é só você escolher o aplicativo que deseja ser notificado nas configurações de notificações do aplicativo, pode acessar essa configuração na tela de início ou na tela de dispositivo. Essa configuração também é mostrada assim que você faz a conexão pela primeira vez com o aplicativo.

Lembre-se que para receber as notificações de um app específico no relógio, o aplicativo também precisa estar permitido de te notificar no celular. Caso não receba de algum aplicativo especifico, primeiro verifique se esse aplicativo é suportado pelo relógio, caso seja, verifique o passo a passo: Vá até: Ajustes > Notificações > Aplicativo que deseja ser notificado e em “Alertas” marque as 3 opções (Tela bloqueada, Central de notificações e Banners)."
[Android] As notificações pararam de funcionar, o que fazer?;"Isso pode acontecer pois o seu celular está restringindo o nosso aplicativo por conta de otimização de bateria. Essa função precisa ser configurada através das configurações do seu celular.

Siga o passo a passo:

1- Acesse as configurações do seu dispositivo;

2- Procure por “Apps” ou “Aplicativos”;

3- Toque em Mormaii Smartwatches;

4- Toque em “Bateria"";

5- Selecione a opção “sem restrição” ou “nenhuma restrição”.

OBS.: As nomenclaturas das configurações podem variar para alguns celulares ou fabricantes.

Após isso, faça o processo de conexão novamente com o aplicativo e desative e ative as notificações nas configurações do aplicativo."
Como ativar as notificações em celulares Xiaomi?;"Está com problemas de receber notificações no seu Xiaomi? então siga

o passo a passo:

1. Desinstalar o aplicativo Mormaii Smartwatches (lembre-se de sincronizar as informações com o aplicativo para não perder nenhum dado do relógio, para isso, arraste de cima para baixo a tela inicial do aplicativo);

2. Reinicie o seu celular;

3. Instale o aplicativo novamente, faça o processo de primeira conexão, dê as permissões de notificações necessárias;

4. No aplicativo vá até a aba “Dispositivo” no menu inferior e depois em “Notificações” ou procure o atalho na tela inicial do aplicativo;

5. Habilite todas as notificações desejadas;

Depois disso, verifique se está recebendo as notificações dos aplicativos que selecionou. Lembre-se que você só receberá no relógio as notificações que também receber no seu celular, tá bom?

Para garantir que as notificações não volte a desaparecer, faça as seguintes configurações:

1. No seu celular, vá até as Configurações > Apps > Gerenciar apps > Selecione o Mormaii Smartwatches > e na parte de ""Permissões"", habilite a opção ""Início automático"";

2. Vá até as Configurações > Apps > Gerenciar apps > Selecione o Technos Connect > Economia de bateria > Selecione a opção “Nenhuma restrição”;"
"Como tirar notificações de ""procurando novas mensagens"" do Whatsapp no android?";"Caso você esteja recebendo notificações do Whatsapp como “Procurando novas mensagens” e queira parar de ser notificado tanto no relógio quanto no celular, você precisa fazer essa seleção no seu app, e vou te mostrar como:

- Vá até as configurações do seu celular > clique em aplicativos > procure pelo Whatsapp > toque em notificações;
- Nessa tela você vai se deparar com todas as notificações que o Whatsapp te envia, Você pode escolher quais deseja desmarcar;
- Para essa notificação em específico de “Procurando novas mensagens” você pode desmarcar a opção “Outras notificações” que assim vai parar de receber essa mensagem.

Caso esteja recebendo notificações do estilo ""x novas mensagens de x conversas"", até o momento não é possível fazer por esse passo a passo pois é uma notificação do próprio aplicativo que não conseguimos desmarcar.

Você pode também seguir esse passo a passo para outros aplicativos do seu celular e desmarcar os alertas que não deseja receber."
Como fazer a integração com o Strava?;Para fazer a integração com o Strava é bem rápido e simples, você só precisa ir até a aba “dispositivo” do aplicativo e depois tocar em “Strava”. Nessa tela você vai ler e concordar com as políticas de privacidade do Strava e depois tocar em “Continuar”, automaticamente você será redirecionado para fazer o login com o Strava no navegador ou caso você já tenha o aplicativo do Strava instalado no seu celular, será redirecionado para ele. Após finalizar será redirecionado de volta para o Mormaii Smartwatches e pronto, sua conta do Strava já está integrada com o Mormaii Smartwatches e seus novos exercícios realizados após a integração serão enviados assim que finalizados e sincronizados corretamente.
Quais exercícios são enviadas para o Strava?;Todos os exercícios feitos no Mormaii Smartwatches ou feito no seu relógio e sincronizado com o aplicativo posteriormente serão enviadas para a sua conta do Strava automaticamente.
Meus exercícios não estão indo para o Strava, o que fazer?;Assim que você finaliza um exercício pelo Mormaii Smartwatches ou pelo relógio, você precisa sincronizar arrastando a tela inicial do aplicativo de cima para baixo, só assim os exercícios serão enviados para o Strava. Caso mesmo assim o exercício não seja sincronizado, verifique se fez a integração corretamente. Lembre-se que só serão enviados para o Strava exercícios que forem realizados após a integração.
Quais dados dos meus exercícios vão para o Strava?;Os dados enviados para o strava são: Percurso do exercício (caso tenham iniciado o exercício pelo aplicativo ou caso o seu relógio tenha GPS integrado), calorias, batimentos, distância, ritmo médio e tempo.
Quais configurações dos meus exercícios consigo fazer no Strava?;No Strava você consegue fazer algumas configurações no seu exercício como colocar uma foto, mudar o nome do exercício, editar métricas que ache relevante, compartilhar seu exercício com uma foto do seu treino e muito mais.
Como desconectar o Strava do Mormaii Smartwatches?;Para desconectar o Strava do aplicativo e parar de enviar todas as informações dos seus treinos você precisa ir até a aba “Dispositivo”, depois tocar em “Strava” e em seguida toque em “Desconectar”. A partir desse momento sua conta estará desconectada, e nenhum exercício será sincronizado com o Strava.
Não encontro meu relógio no Strava;"O seu relógio não pode ser conectado no aplicativo do Strava, ele somente pode ser encontrado e pareado pelo Mormaii Smartwatches.
Todos os exercícios que você fizer pelo seu relógio ou pelo aplicativo, serão enviados automaticamente para o Strava assim que você fizer a sincronização na tela inicial do aplicativo.
Lembre-se que os exercícios só serão enviados caso você tenha o feito após a integração com o Strava."
Como é feito o cálculo de distância no aplicativo e no relógio? ;O calculo da distância das atividades, é feita de acordo com a quantidade de passos dados na atividade, multiplicados por um valor do tamanho da passada que você configurou na tela de “Perfil” > “Tamanho da passada” (Com exceção da atividade Bike, que a distância é calculada pelo GPS do seu celular quando a atividade for iniciada pelo app). Dito isto, a distância das atividades pode ter uma diferença da distância calculada por um dispositivo com GPS integrado. 
[IOS] Como ativar as notificações do Whatsapp Business?;"No IOS não é possível receber notificações do Whatsapp Business pois esse aplicativo não é suportado pelo relógio.
Por ter uma limitação do IOS, não conseguimos colocar as opções no nosso app de quais aplicativos você deseja receber as notificações, por isso, ao selecionar ""Todos os aplicativos"", o celular só manda pro relógio alguns aplicativos, os mais famosos que são: Facebook, Instagram, Whatsapp (normal) e alguns outros, verifique na central de ajuda os aplicativos suportados por seu relógio."
Frequência de atualizações do Mormaii Smartwatches;"No Grupo Technos, levamos problemas de segurança e privacidade muito a sério e nos esforçamos para reagir o mais rápido possível. Proteger seu dispositivo e manter a confiança que você deposita em nós é nossa principal prioridade.

Fornecemos atualizações de segurança frequentes para o Mormaii Smartwatches e damos suporte para atualizações de correções de bugs e melhoria dos modelos suportados pelo aplicativo por no mínimo 1 ano a contar da data de lançamento do produto.

Modelos suportados e data de lançamento:

Mormaii FitGPS - Junho/2019
Mormaii FitSport - Outubro/2020
Mormaii Life - Março/2021
Mormaii Life GPS- Fevereiro/2022
Mormaii Force - Outubro/2023
Mormaii Life Ultra - Março 2024
Mormaii Life Ultra GPS - Fevereiro 2025
Mormaii Life Ultra com caixa redonda - Março 2025"
Versões dos sistemas operacionais que damos suporte:;"O aplicativo Mormaii Smartwatches funciona em celulares com as seguintes versões dos sistemas operacionais:
IOS: 15 ou superior
Android 10 ou superior

ATENÇÃO: As versões suportadas podem alterar com o passar dos anos e o avanço das tecnologias utilizadas. Sempre que tiverem alterações, vamos atualizar nesse artigo."
[IOS] Meu relógio perdeu a conexão. O que devo fazer?;"Caso a conexão entre relógio e aplicativo seja perdida, basta abrir o aplicativo em seu celular e aguardar a conexão ser refeita automaticamente.
Caso o aplicativo não consiga reestabelecer a conexão automaticamente, será preciso refazer o passo-a-passo de conexão.

Além disso, será necessário verificar se o seu aplicativo está conectado corretamente com o seu celular. Sempre que você faz o processo de conexão, dois ‘popups’ do IOS são abertos, o primeiro solicita o emparelhamento com o celular e o segundo solicita a permissão de notificação, você precisa tocar em “Emparelhar” e “Permitir” respectivamente.

Caso ainda assim não funcione, entre nas configurações de bluetooth do seu celular e verifique se o relógio está com o texto ”Conectado” ao lado do nome, caso não esteja, toque no ícone de informação e em seguida toque em “esquecer esse dispositivo”. Volte ao aplicativo e siga os passos solicitados por ele."
Recebo notificação mesmo de grupos silenciados, o que fazer?;Mesmo que um grupo do seu Whatsapp esteja silenciado, pode ser que você ainda esteja recebendo essa notificação na central de notificações do seu celular. Caso isso esteja acontecendo, você precisa modificar as configurações de grupos silenciados no aplicativo do whatsapp.
Por que precisamos das permissões de notificações e bateria?;"Para a sua segurança, todos os aplicativos precisam solicitar permissões para acessar recursos do seu smartphone. O Mormaii Smartwatches não é diferente. 

Sabendo disso, além das permissões de bateria e de notificações, que servem principalmente para que você consiga receber as notificações no seu smartwatch, também solicitamos outras permissões para que todas as funções do aplicativo funcionem sem dificuldades."
Como ser notificado de uma ligação pelo relógio?;"Após feita a conexão do seu relógio com o aplicativo, e dado todas as permissões necessárias. Você pode acessar o atalho de “Notificações” na tela inicial do aplicativo ou no menu ""Dispositivo” e ligar a função “Chamadas”. Após esse processo, seu relógio te notificará sempre que alguém estiver te ligando. "
Posso atender e recusar uma ligação no relógio?;Você consegue recusar uma ligação pelo relógio caso o sistema operacional do seu celular seja IOS. Para celulares com android, não é possível recusar uma ligação pelo relógio. Para esse dispositivo, não é possível atender uma ligação pelo relógio.
Não está aparecendo o nome do contato na ligação, o que fazer?;O nome do contato aparece no relógio caso você tenha o contato salvo no seu celular e caso você tenha dado todas as permissões de ligação corretamente.
O relógio parou de notificar ligação, o que fazer?;"Para voltar a receber notificações de ligação, siga os passos abaixo:

1- Verifique se o relógio está ligado;

2- Verifique se o relógio está conectado com o aplicativo;

3- Verifique se o aplicativo está com todas as permissões necessárias para que o relógio consiga receber as notificações;

4- Verifique se o modo ""Não perturbe” do aplicativo está ligado.

5- Verifique se a notificação de “Chamada” está ativa, caso já esteja, você pode desligar e ligar a função para atualizar a configuração no relógio."
Consigo ser notificado de ligação de Whatsapp, skype, teams e outros?;Sim, todas as ligações que receber no seu celular, sendo de aplicativos ou não, seu relógio te notificará.
Os meus dados estão seguros com a Technos?;"Sim! Todos os seus dados pessoais e dados gerados pelo relógio ou aplicativo está em conformidade com a LGPD e estão seguros em nossos servidores. 

Seus dados não são fornecidos ou enviados para aplicativos e empresas terceiras sem o seu consentimento.

E vale lembrar que todos os dados são seus, e você pode excluí-lo de nossos servidores caso queira, para isso, basta excluir a conta na tela de perfil."
É possível apagar meus dados?;"Sim, você pode excluir todos os seus dados pessoais e dados gerados pelas funcionalidades do relógio que foram sincronizados com o aplicativo quando quiser. Para isso, basta acessar a tela de perfil e tocar no botão de excluir conta.

Importante lembrar que após a exclusão da sua conta, seus dados não poderão ser recuperados."
